Username,TimeStamp,Text,Replies,Retweets,Likes
ESPNcricinfo,2024-05-29T06:25:01.000Z,"It's been two years since Gujarat Titans won their first IPL title under skipper Hardik Pandya, who was also the Player of the Match in the final 

Scorecard  http://es.pn/43zaFGf #IPL2022 #OnThisDay",7,7,245
꧁༺🅟🅡🅸🅝🅒🅔༻꧂,2023-12-14T10:56:16.000Z,"This media has been disabled in response to a report by the copyright owner.It's been two years since Gujarat Titans won their first IPL title under skipper Hardik Pandya, who was also the Player of the Match in the final 

Scorecard  http://es.pn/43zaFGf #IPL2022 #OnThisDay",7,7,245
Bandana Proteas ABD Adhikari (Tutu),2024-03-22T13:52:17.000Z,"0:03
Royal Challengers BengaluruIt's been two years since Gujarat Titans won their first IPL title under skipper Hardik Pandya, who was also the Player of the Match in the final 

Scorecard  http://es.pn/43zaFGf #IPL2022 #OnThisDay",7,7,245
A D,2023-04-01T10:56:12.000Z,"It's been two years since Gujarat Titans won their first IPL title under skipper Hardik Pandya, who was also the Player of the Match in the final 

Scorecard  http://es.pn/43zaFGf #IPL2022 #OnThisDay",7,7,245
Mahaveer dangi,2024-05-19T01:06:37.000Z,"It's been two years since Gujarat Titans won their first IPL title under skipper Hardik Pandya, who was also the Player of the Match in the final 

Scorecard  http://es.pn/43zaFGf #IPL2022 #OnThisDay",7,7,245
Siju Moothedath,2024-05-23T04:33:57.000Z,"#RR is #RCB’s Playoff nightmare for a reason 

#IPL2022 Playoff  V/s  #IPL2024 playoff. 

#RCBvsRR #RRvaRCB #Haarcb #Playoffs",,5,8
तारिका त्यागी,2024-03-21T17:37:29.000Z,"#RR is #RCB’s Playoff nightmare for a reason 

#IPL2022 Playoff  V/s  #IPL2024 playoff. 

#RCBvsRR #RRvaRCB #Haarcb #Playoffs",,5,8
क्रीडाजगत,2023-05-28T06:21:54.000Z,"#RR is #RCB’s Playoff nightmare for a reason 

#IPL2022 Playoff  V/s  #IPL2024 playoff. 

#RCBvsRR #RRvaRCB #Haarcb #Playoffs",,5,8
Ansuman Rath,2023-08-19T13:27:12.000Z,"#RR is #RCB’s Playoff nightmare for a reason 

#IPL2022 Playoff  V/s  #IPL2024 playoff. 

#RCBvsRR #RRvaRCB #Haarcb #Playoffs",,5,8
RVCJ Media,2023-05-03T10:50:58.000Z,"#RR is #RCB’s Playoff nightmare for a reason 

#IPL2022 Playoff  V/s  #IPL2024 playoff. 

#RCBvsRR #RRvaRCB #Haarcb #Playoffs",,5,8
Delhi Capitals,2023-05-11T14:16:59.000Z,"The coach speaks about Rishabh 

The #DCPodcast is  with its nd episode and it's time we hear from the one & only, Ricky Ponting 

 to the full episode on Spotify  https://spoti.fi/3I2g00b

#YehHaiNayiDilli #IPL2022 #DCOriginals | 
@RickyPonting",1,13,187
Fantasy Counsel,2024-02-29T07:40:03.000Z,"The coach speaks about Rishabh 

The #DCPodcast is  with its nd episode and it's time we hear from the one & only, Ricky Ponting 

 to the full episode on Spotify  https://spoti.fi/3I2g00b

#YehHaiNayiDilli #IPL2022 #DCOriginals | 
@RickyPonting",1,13,187
Broken Cricket Dreams Cricket Blog,2023-04-23T10:23:30.000Z,"The coach speaks about Rishabh 

The #DCPodcast is  with its nd episode and it's time we hear from the one & only, Ricky Ponting 

 to the full episode on Spotify  https://spoti.fi/3I2g00b

#YehHaiNayiDilli #IPL2022 #DCOriginals | 
@RickyPonting",1,13,187
