Username,TimeStamp,Text,Replies,Retweets,Likes
Comedy Tonic Telugu,2021-10-13T17:44:30.000Z,#DCvsKKR #IPL2021,169,1.4K,3.5K
Comedy Tonic Telugu,2021-04-29T13:57:53.000Z,0:07#DCvsKKR #IPL2021,169,1.4K,3.5K
Mumbai Indians,2021-05-01T18:21:58.000Z,Kieron Pollard#DCvsKKR #IPL2021,169,1.4K,3.5K
Punjab Kings,2021-10-03T11:16:11.000Z,#DCvsKKR #IPL2021,169,1.4K,3.5K
Royal Challengers Bengaluru,2021-09-19T17:00:53.000Z,"Virat Kohli to step down from RCB captaincy after #IPL2021

“This will be my last IPL as captain of RCB. I’ll continue to be an RCB player till I play my last IPL game. I thank all the RCB fans for believing in me and supporting me.”: Virat Kohli

#PlayBold #WeAreChallengers",5.2K,22K,79K
Chloe-Amanda Bailey,2021-03-30T03:58:01.000Z,"Virat Kohli to step down from RCB captaincy after #IPL2021

“This will be my last IPL as captain of RCB. I’ll continue to be an RCB player till I play my last IPL game. I thank all the RCB fans for believing in me and supporting me.”: Virat Kohli

#PlayBold #WeAreChallengers",5.2K,22K,79K
Mumbai Indians,2021-10-08T02:30:00.000Z,"Virat Kohli to step down from RCB captaincy after #IPL2021

“This will be my last IPL as captain of RCB. I’ll continue to be an RCB player till I play my last IPL game. I thank all the RCB fans for believing in me and supporting me.”: Virat Kohli

#PlayBold #WeAreChallengers",5.2K,22K,79K
Suresh Raina,2021-04-25T14:40:12.000Z,"Virat Kohli to step down from RCB captaincy after #IPL2021

“This will be my last IPL as captain of RCB. I’ll continue to be an RCB player till I play my last IPL game. I thank all the RCB fans for believing in me and supporting me.”: Virat Kohli

#PlayBold #WeAreChallengers",5.2K,22K,79K
Wasim Jaffer,2021-04-15T06:05:07.000Z,"Virat Kohli to step down from RCB captaincy after #IPL2021

“This will be my last IPL as captain of RCB. I’ll continue to be an RCB player till I play my last IPL game. I thank all the RCB fans for believing in me and supporting me.”: Virat Kohli

#PlayBold #WeAreChallengers",5.2K,22K,79K
Plutus,2023-06-21T07:43:46.000Z,"Virat Kohli to step down from RCB captaincy after #IPL2021

“This will be my last IPL as captain of RCB. I’ll continue to be an RCB player till I play my last IPL game. I thank all the RCB fans for believing in me and supporting me.”: Virat Kohli

#PlayBold #WeAreChallengers",5.2K,22K,79K
"Your tweet is nice, that's why I",2023-07-21T16:50:09.000Z,"This media has been disabled in response to a report by the copyright owner.221 to chase
Russell wilding with 20 ball 50. 
Sam Curran with 7D chess  :

#IPL2021",,2,22
Mumbai Indians,2021-03-31T04:34:17.000Z,"221 to chase
Russell wilding with 20 ball 50. 
Sam Curran with 7D chess  :

#IPL2021",,2,22
Influencer Leo Das,2024-04-10T08:01:32.000Z,"221 to chase
Russell wilding with 20 ball 50. 
Sam Curran with 7D chess  :

#IPL2021",,2,22
Cricbuzz,2021-09-19T17:00:16.000Z,"221 to chase
Russell wilding with 20 ball 50. 
Sam Curran with 7D chess  :

#IPL2021",,2,22
Aadi,2024-05-18T18:35:14.000Z,"221 to chase
Russell wilding with 20 ball 50. 
Sam Curran with 7D chess  :

#IPL2021",,2,22
Royal Challengers Bengaluru,2021-04-01T07:34:30.000Z,"Virat Kohli221 to chase
Russell wilding with 20 ball 50. 
Sam Curran with 7D chess  :

#IPL2021",,2,22
Royal Challengers Bengaluru,2021-01-27T08:54:14.000Z,"IPL Auction 2021 
Date: th February, 2021. 
Venue: Chennai  

Who do you think should be a part of RCB’s #ClassOf2021? 

#PlayBold #IPLAuction #IPL2021",1.2K,1K,15K
Madras Man,2024-05-13T16:39:06.000Z,"IPL Auction 2021 
Date: th February, 2021. 
Venue: Chennai  

Who do you think should be a part of RCB’s #ClassOf2021? 

#PlayBold #IPLAuction #IPL2021",1.2K,1K,15K
