Username,TimeStamp,Text,Replies,Retweets,Likes
Travis Head,2024-05-27T21:13:43.000Z,"SunRisers Hyderabad and Abhishek SharmaIndia is like my second home, very enjoyable to be back and spend a lot of time here. I’ll be back.   #IPL2024",247,2K,52K
TukTuk Academy,2024-05-29T13:41:20.000Z,"India is like my second home, very enjoyable to be back and spend a lot of time here. I’ll be back.   #IPL2024",247,2K,52K
Silly Point,2024-05-28T05:57:09.000Z,"India is like my second home, very enjoyable to be back and spend a lot of time here. I’ll be back.   #IPL2024",247,2K,52K
Aakash Chopra,2024-05-28T17:30:36.000Z,"India is like my second home, very enjoyable to be back and spend a lot of time here. I’ll be back.   #IPL2024",247,2K,52K
Sportskeeda,2024-05-28T11:28:03.000Z,"SRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K
Travis Head,2024-05-26T17:27:20.000Z,"SunRisers HyderabadSRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K
Ormax Media,2024-05-24T12:08:36.000Z,"SRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K
Comedy Tonic Telugu,2024-05-22T18:00:10.000Z,"SRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K
Nisha Rose,2024-05-25T16:45:11.000Z,"From 
Sridhar MSRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K
RVCJ Sports,2024-05-29T02:48:45.000Z,"SRH's target retention list for the IPL 2025 mega auction 

Do you agree with this list? 

#SunrisersHyderabad #IPL2024 #PatCummins #TravisHead",145,195,2.5K
Farid Khan,2024-05-27T09:53:15.000Z,"Shah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596
ESPNcricinfo,2024-05-28T09:21:51.000Z,"Shah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596
TEAM MS DHONI #Dhoni,2024-05-22T18:37:54.000Z,"0:08
From 
KrithzShah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596
ESPNcricinfo,2024-05-26T18:43:54.000Z,"Shah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596
RVCJ Sports,2024-05-24T13:48:27.000Z,"Shah Rukh Khan and Gautam Gambhir's ancestors are from Pakistan. Shah Rukh Khan's father was from Peshawar, his family still lives here. Gambhir's grandfather was from Multan, and grandmother from Karachi. We love KKR for this 

#IPL2024 #tapmad #HojaoADFree #IPLFinal",208,42,596
Mayank Agarwal,2024-05-24T19:44:02.000Z,"Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K
PuthiyathalaimuraiTV,2024-05-29T13:26:35.000Z,"Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K
Chennai Super Kings,2024-05-29T11:12:05.000Z,"1:54Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K
Stake.com,2024-05-25T07:40:00.000Z,"Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K
Sportskeeda,2024-05-29T07:35:34.000Z,"Amazing win tonight 

Onto the final conquest  
@SunRisers
 #IPL2024 #SRHvsRR",38,735,11K
Filmfare,2024-05-27T06:17:07.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K
Ayyappan,2024-05-24T18:03:49.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K
George,2024-05-26T15:32:55.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K
ESPNcricinfo,2024-05-27T18:04:57.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K
Ram Garapati,2024-05-29T13:31:04.000Z,"King Khan doing what he does best. 

#ShahRukhKhan greets his fans with his iconic pose after #KKR’s win against #SRH in #IPL2024. 

#photos #trending",5,219,1.4K
Litton Das,2024-05-26T19:29:12.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K
Filmfare,2024-05-27T13:14:25.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K
Cricbuzz,2024-05-28T05:04:33.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K
ESPNcricinfo,2024-05-25T17:00:00.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K
Saravanan Hari,2024-05-22T18:33:00.000Z,"Congratulations 
@KKRiders
 for becoming the champion of #IPL2024 . So proud of you guys. Alongs with the skip 
@ShreyasIyer15
 and rest of the players, congratulations to all the coaching staffs who have done immense hard work for the team. ",41,582,6.1K
Wasim Jaffer,2024-05-22T15:24:35.000Z,"Bat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K
Filmfare,2024-05-27T13:15:44.000Z,"Bat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K
Saravanan Hari,2024-05-22T18:36:26.000Z,"From 
RadooBat hit pad, also DK looked hesitant to review as he knew he was out. Third umpire got it wrong again. #RCBvRR #Eliminator #IPL2024",144,673,7.4K
